date,wssStaPresMean,wssStaPresMinimum,wssStaPresMaximum,wssStaPresVariance,wssStaPresStdErMean,wssStaPresNumPts,staPresQF,wssCorPres,corPresQF
"2019-08-01",97.72171,97.56854,97.87856,0.00664,0.00088,8634.0,0,101.79737,0
"2019-08-02",97.75539,97.59854,97.90856,0.00576,0.00082,8640.0,0,101.81682,0
"2019-08-03",97.53882,97.21851,97.70855,0.02254,0.00162,8640.0,0,101.58070,0
"2019-08-04",97.34513,97.21851,97.44853,0.00357,0.00064,8640.0,0,101.39134,0
"2019-08-05",97.37564,97.21851,97.52854,0.00713,0.00091,8640.0,0,101.43067,0
"2019-08-06",97.09284,96.82848,97.27852,0.01850,0.00146,8640.0,0,101.11913,0
"2019-08-07",96.85698,96.68847,96.96850,0.00452,0.00072,8640.0,0,100.87748,0
"2019-08-08",96.83416,96.72847,96.92849,0.00213,0.00050,8640.0,0,100.85542,0
"2019-08-09",96.88673,96.79848,97.01849,0.00360,0.00065,8640.0,0,100.90122,0
"2019-08-10",97.19467,96.92849,97.34852,0.00777,0.00095,8640.0,0,101.26679,0
"2019-08-11",97.56072,97.21851,97.78856,0.01904,0.00148,8640.0,0,101.65570,0
"2019-08-12",97.42151,97.07850,97.57853,0.02412,0.00167,8640.0,0,101.47968,0
"2019-08-13",96.91147,96.61846,97.09850,0.01867,0.00147,8640.0,0,100.91400,0
"2019-08-14",96.87558,96.68847,97.04850,0.01309,0.00123,8640.0,0,100.88593,0
"2019-08-15",97.27059,97.04850,97.43852,0.00823,0.00098,8639.0,0,101.30899,0
"2019-08-16",97.40639,97.21851,97.55854,0.00549,0.00080,8640.0,0,101.45266,0
"2019-08-17",97.43504,97.29851,97.57853,0.00383,0.00067,8640.0,0,101.45546,0
"2019-08-18",97.45242,97.31852,97.58854,0.00466,0.00073,8640.0,0,101.46119,0
"2019-08-19",97.48577,97.33852,97.59854,0.00484,0.00075,8640.0,0,101.51926,0
"2019-08-20",97.70241,97.46853,97.85856,0.00741,0.00093,8640.0,0,101.73181,0
"2019-08-21",97.37389,97.07850,97.68854,0.02831,0.00181,8640.0,0,101.39377,0
"2019-08-22",97.27264,97.04850,97.44853,0.00906,0.00102,8640.0,0,101.28173,0
"2019-08-23",97.46466,97.16851,97.65854,0.02471,0.00169,8640.0,0,101.56417,0
"2019-08-24",97.95388,97.63854,98.13858,0.01674,0.00139,8640.0,0,102.10975,0
"2019-08-25",98.09513,97.92857,98.19858,0.00540,0.00079,8640.0,0,102.26389,0
"2019-08-26",97.96076,97.70855,98.08858,0.01294,0.00122,8640.0,0,102.11453,0
"2019-08-27",97.56321,97.28852,97.80856,0.02338,0.00164,8640.0,0,101.68002,0
"2019-08-28",97.15744,96.98849,97.37852,0.01475,0.00134,8258.0,0,101.21859,0
"2019-08-29",97.38538,97.08850,97.60854,0.01906,0.00149,8640.0,0,101.47985,0
"2019-08-30",97.65155,97.49853,97.79855,0.00470,0.00074,8640.0,0,101.74179,0
"2019-08-31",98.01959,97.66855,98.23859,0.02382,0.00166,8640.0,0,102.09815,0
